"st_fips","state","estimate","moe","year","sex","age"
1,"Alabama",79660,3676,2022,"M","67-69"
1,"Alabama",110670,3922,2022,"M","70-74"
1,"Alabama",75480,3090,2022,"M","75-79"
1,"Alabama",44901,2787,2022,"M","80-84"
1,"Alabama",28179,2416,2022,"M","85+"
1,"Alabama",137895,3387,2022,"F","00-04"
1,"Alabama",152825,5402,2022,"F","05-09"
1,"Alabama",153945,5432,2022,"F","10-14"
1,"Alabama",99015,3265,2022,"F","15-17"
1,"Alabama",72768,4083,2022,"F","18-19"
1,"Alabama",36614,4004,2022,"F","20"
1,"Alabama",32968,3662,2022,"F","21"
1,"Alabama",100951,4691,2022,"F","22-24"
1,"Alabama",155194,3170,2022,"F","25-29"
1,"Alabama",174536,3480,2022,"F","30-34"
1,"Alabama",158639,5923,2022,"F","35-39"
1,"Alabama",165629,6291,2022,"F","40-44"
1,"Alabama",152839,2837,2022,"F","45-49"
1,"Alabama",164732,2780,2022,"F","50-54"
1,"Alabama",162938,5495,2022,"F","55-59"
1,"Alabama",72509,4765,2022,"F","60-61"
1,"Alabama",105963,4504,2022,"F","62-64"
1,"Alabama",67095,3848,2022,"F","65-66"
1,"Alabama",96844,3933,2022,"F","67-69"
1,"Alabama",130885,4420,2022,"F","70-74"
